case;event;timestamp;device_type;country;continent;city
1;/;3/19/2022 11:30:40;Dektop;Germany;Europe;Stuttgart
1;/manner;3/19/2022 11:30:57;Dektop;Germany;Europe;Stuttgart
1;/manner-fussball-schuhe;3/19/2022 11:31:08;Dektop;Germany;Europe;Stuttgart
1;/mundial-team-fussballschuh/019228.html;3/19/2022 11:31:18;Dektop;Germany;Europe;Stuttgart
1;/cart;3/19/2022 11:31:31;Dektop;Germany;Europe;Stuttgart
1;/delivery;3/19/2022 11:31:40;Dektop;Germany;Europe;Stuttgart
2;/;3/19/2022 11:36:16;Dektop;Austria;Europe;Stuttgart
2;/manner-jacken;3/19/2022 11:36:33;Dektop;Austria;Europe;Wien
2;/bereit_fur_den_herbst-manner-kleidung-jacken;3/19/2022 11:36:42;Dektop;Austria;Europe;Wien
2;/steppjacke-%E2%80%93-genderneutral/GD3533.html;3/19/2022 11:36:58;Dektop;Austria;Europe;Wien
2;/bereit_fur_den_herbst-manner-kleidung-jacken;3/19/2022 11:37:15;Dektop;Austria;Europe;Wien
2;/tiro-19-trainingsjacke/DT5272.html;3/19/2022 11:37:36;Dektop;Austria;Europe;Wien
2;/cart;3/19/2022 11:38:05;Dektop;Austria;Europe;Wien
2;/delivery;3/19/2022 11:38:18;Dektop;Austria;Europe;Wien
3;/;3/19/2022 11:38:31;Dektop;Germany;Europe;Stuttgart
3;/manner-socken;3/19/2022 11:38:50;Dektop;Germany;Europe;Stuttgart
3;/cushioned-crew-socken_-3-paar/DZ9356.html;3/19/2022 11:38:59;Dektop;Germany;Europe;Stuttgart
3;/delivery;3/19/2022 11:39:09;Dektop;Germany;Europe;Stuttgart
4;/;3/19/2022 11:39:20;Dektop;Germany;Europe;Stuttgart
4;/rucksendung;3/19/2022 11:39:27;Dektop;Germany;Europe;Stuttgart
4;/hilfe/rucksendung-ruckerstattung/unter-welchen-bedingungen-kann-ich-meine-produkte-zurucksenden;3/19/2022 11:39:55;Dektop;Germany;Europe;Stuttgart
4;/hilfe/rucksendung-ruckerstattung/wie-sende-ich-meinen-artikel-zuruck;3/19/2022 11:40:08;Dektop;Germany;Europe;Stuttgart
4;/hilfe/kontaktiere-uns;3/19/2022 11:40:19;Dektop;Germany;Europe;Stuttgart
5;/;3/19/2022 11:41:09;Dektop;Germany;Europe;Stuttgart
5;/manner-socken;3/19/2022 11:41:19;Dektop;Germany;Europe;Stuttgart
5;/cushioned-crew-socken_-3-paar/DZ9356.html;3/19/2022 11:41:27;Dektop;Germany;Europe;Stuttgart
5;/cart;3/19/2022 11:42:03;Dektop;Germany;Europe;Stuttgart
5;/manner-t_shirts;3/19/2022 11:42:17;Dektop;Germany;Europe;Stuttgart
5;/adicolor-classics-3-streifen-t-shirt/HE9545.html;3/19/2022 11:42:26;Dektop;Germany;Europe;Stuttgart
5;/delivery;3/19/2022 11:42:38;Dektop;Germany;Europe;Stuttgart
7;/;3/19/2022 11:43:16;Dektop;Germany;Europe;Stuttgart
7;/manner-jacken;3/19/2022 11:43:33;Dektop;Germany;Europe;Stuttgart
8;/;3/19/2022 11:43:40;Dektop;Germany;Europe;Stuttgart
6;/;3/19/2022 11:43:40;Dektop;Germany;Europe;Stuttgart
7;/bereit_fur_den_herbst-manner-kleidung-jacken;3/19/2022 11:43:42;Dektop;Germany;Europe;Stuttgart
8;/manner;3/19/2022 11:43:57;Dektop;Germany;Europe;Stuttgart
6;/manner;3/19/2022 11:43:57;Dektop;Germany;Europe;Stuttgart
7;/steppjacke-%E2%80%93-genderneutral/GD3533.html;3/19/2022 11:43:58;Dektop;Germany;Europe;Stuttgart
8;/manner-fussball-schuhe;3/19/2022 11:44:08;Dektop;Germany;Europe;Stuttgart
6;/manner-fussball-schuhe;3/19/2022 11:44:08;Dektop;Germany;Europe;Stuttgart
7;/bereit_fur_den_herbst-manner-kleidung-jacken;3/19/2022 11:44:15;Dektop;Germany;Europe;Stuttgart
8;/mundial-team-fussballschuh/019228.html;3/19/2022 11:44:18;Dektop;Germany;Europe;Stuttgart
6;/mundial-team-fussballschuh/019228.html;3/19/2022 11:44:18;Dektop;Germany;Europe;Stuttgart
8;/cart;3/19/2022 11:44:31;Dektop;Germany;Europe;Stuttgart
6;/cart;3/19/2022 11:44:31;Dektop;Germany;Europe;Stuttgart
7;/tiro-19-trainingsjacke/DT5272.html;3/19/2022 11:44:36;Dektop;Germany;Europe;Stuttgart
6;/error;3/19/2022 11:44:40;Dektop;Germany;Europe;Stuttgart
8;/error;3/19/2022 11:44.40;Dektop;Germany;Europe;Stuttgart
7;/cart;3/19/2022 11:45:05;Dektop;Germany;Europe;Stuttgart
9;/;3/19/2022 11:45:16;Dektop;Germany;Europe;Stuttgart
7;/error;3/19/2022 11:45:18;Dektop;Germany;Europe;Stuttgart
9;/cart;3/19/2022 11:46:18;Dektop;Germany;Europe;Stuttgart
9;/error;3/19/2022 11:46.05;Dektop;Germany;Europe;Stuttgart